,Unnamed: 0,Unnamed: 0.1,@type,name,offers.@type,offers.price,offers.priceCurrency,type_of_plate,rating,cuisine,direction,geo,restaurant,description
85,3,3,MenuItem,Botella de agua,Offer,2.0,EUR,Bebidas,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
86,4,4,MenuItem,Media botella de agua,,,,Bebidas,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
87,5,5,MenuItem,Botella de vino,Offer,11.0,EUR,Bebidas,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
88,6,6,MenuItem,Copa de vino,Offer,2.0,EUR,Bebidas,9.1,None,"""Calle de Argumosa","""geo"":{""latitude"":40.4084188,""longitude"":-3.6991301",Tatema,
89,0,0,MenuItem,Arepas tradicionales,,,,¡¡¡Arepas!!!,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
90,1,1,MenuItem,Queso gouda y aguacate (Vegetariana) (Sin gluten),Offer,5.9,EUR,¡¡¡Arepas!!!,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
91,2,2,MenuItem,Mortadela y queso gouda,Offer,5.9,EUR,¡¡¡Arepas!!!,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
92,3,3,MenuItem,Dominó (Vegetariana),Offer,5.9,EUR,¡¡¡Arepas!!!,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
93,4,4,MenuItem,Plátano con queso (Vegetariana),Offer,5.9,EUR,¡¡¡Arepas!!!,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
94,0,0,MenuItem,Nachos texanos,Offer,7.9,EUR,Entrantes,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
95,1,1,MenuItem,Miniempanadas de queso llanero,Offer,7.0,EUR,Entrantes,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
96,2,2,MenuItem,Ensalada César con pollo,Offer,8.9,EUR,Entrantes,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
97,3,3,MenuItem,Patatas molonas,Offer,8.9,EUR,Entrantes,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
98,4,4,MenuItem,Bandeja mestiza,Offer,18.0,EUR,Entrantes,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
99,0,0,MenuItem,Pabellón criollo,Offer,12.9,EUR,Platos y sancocho,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
100,1,1,MenuItem,Opciones gratuitas:,,,,Platos y sancocho,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
101,2,2,MenuItem,Sancocho de res,Offer,8.9,EUR,Platos y sancocho,9.3,"""Latino""","""Calle de Nicolasa Gómez","""geo"":{""latitude"":40.4356721,""longitude"":-3.6100865",GuisaOh! Delicias Venezol...,
