,product,price,type,rating,cuisine,restaurant,lat,log
194,bogavante,39.0,plato,9.6,none,horcher,40.4186957,-3.6890673
195,nuestros pastelillos de leche frita,5.5,postre,9,español,la despensa,40.429918741799,-3.7016000747680664
196,pudding de naranja con chocolate caliente,5.0,postre,9,español,la despensa,40.429918741799,-3.7016000747680664
197,helado artesano de queso idiazabal con crema de membrillo casero,5.6,postre,9,español,la despensa,40.429918741799,-3.7016000747680664
201,tournedo de solomillo de vaca premium a la parrilla de carbon,17.0,plato,8.8,none,fuentearcos,40.3986847,-3.5894927
202,solomillo de vaca premium al foie,20.0,plato,8.8,none,fuentearcos,40.3986847,-3.5894927
203,entrecotte de ternera asturiana a la parrilla de carbon,17.0,plato,8.8,none,fuentearcos,40.3986847,-3.5894927
204,cochinillo confitado al aroma de romero sobre revolconas,17.0,plato,8.8,none,fuentearcos,40.3986847,-3.5894927
205,chuletitas de lecahl con patatas paja y pimientos de padron,18.0,plato,8.8,none,fuentearcos,40.3986847,-3.5894927
206,hamburguesa gourmet (vaca 100%) con pan brioche y confitura de tomate,14.0,plato,8.8,none,fuentearcos,40.3986847,-3.5894927
207,"solomillo iberico a la brasa con emulsion de naranja, soja y jengibre",16.0,plato,8.8,none,fuentearcos,40.3986847,-3.5894927
210,cafe,1.5,bebida,none,español,la bonne vie,40.4233755,-3.70373
212,media botella de agua,2.0,bebida,none,español,la bonne vie,40.4233755,-3.70373
213,botella de vino,12.0,bebida,none,español,la bonne vie,40.4233755,-3.70373
214,copa de vino,2.0,bebida,none,español,la bonne vie,40.4233755,-3.70373
215,jamon iberico de bellota,26.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
216,cecina de leon,18.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
217,tabla de quesos,16.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
218,ensaladilla rusa,2.5,entrante,8.7,español,la clave,40.4240038,-3.6840345
219,anchoas de santoña,18.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
220,salmon marinado,16.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
221,tartar de salmon,18.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
222,calamares fritos de potera,16.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
223,berenjena a la miel de caña,14.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
224,pulpo a la brasa o a feira,22.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
225,croquetas la clave (unidad),2.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
226,hervido la clave (para dos personas),25.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
227,fritos de brie,14.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
228,tabla de ibericos,26.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
229,morcilla de villarcayo,12.0,entrante,8.7,español,la clave,40.4240038,-3.6840345
230,"steak tartar al jack daniels, oriental o al metodo tradicional",22.5,plato,9,americano,la gamella,40.418802280939,-3.6888999938965
231,"trio de tartares (la vuelta al mundo en tres tartares, francia, usa y japon)",24.5,plato,9,americano,la gamella,40.418802280939,-3.6888999938965
232,entrecote de ternera de casa gutier a la parrilla con su guarnicion,23.5,plato,9,americano,la gamella,40.418802280939,-3.6888999938965
233,tacos mexicanos de pollo de corral y verduritas,17.5,plato,9,americano,la gamella,40.418802280939,-3.6888999938965
234,"hamburguesa americana a la parrilla, cebolla, queso, patatas y ensalada",18.2,plato,9,americano,la gamella,40.418802280939,-3.6888999938965
235,"hamburguesa de bisonte de canada a la parrilla, cebolla, queso, patatas y ensalada",19.0,plato,9,americano,la gamella,40.418802280939,-3.6888999938965
236,hamburguesa de rabo de toro con salsa de bourbon,19.0,plato,9,americano,la gamella,40.418802280939,-3.6888999938965
237,hamburguesa vegetariana de verdura y queso manchego fundido,17.5,plato,9,americano,la gamella,40.418802280939,-3.6888999938965
241,tempura de verduras,12.5,plato,none,español,taberna agrado,40.4211657,-3.7036894
242,calçots en tempura en temporada,13.5,plato,none,español,taberna agrado,40.4211657,-3.7036894
243,chips de alcachofas en temporada,11.5,plato,none,español,taberna agrado,40.4211657,-3.7036894
244,ensalada agrado con ventresca,12.0,plato,none,español,taberna agrado,40.4211657,-3.7036894
245,tarta red velvet,3.0,postre,none,mediterraneo,el tarantin de lucia,40.4117699,-3.6991392
246,tarta de chocolate,3.0,postre,none,mediterraneo,el tarantin de lucia,40.4117699,-3.6991392
247,rollo de canela,1.5,postre,none,mediterraneo,el tarantin de lucia,40.4117699,-3.6991392
248,carne suave,2.5,plato,none,italiano,ay mi madre! conde duque,40.4268522,-3.7104081
249,pollo criollo,2.5,plato,none,italiano,ay mi madre! conde duque,40.4268522,-3.7104081
250,caprese,2.5,plato,none,italiano,ay mi madre! conde duque,40.4268522,-3.7104081
251,corazones de alcachofas confitadas,16.0,plato,8.9,español,seduccion a la carta,40.454792,-3.6989494
252,ensalada de perdiz escabechada,16.0,plato,8.9,español,seduccion a la carta,40.454792,-3.6989494
253,habitas baby confitadas con huevo frito,16.0,plato,8.9,español,seduccion a la carta,40.454792,-3.6989494
254,pasta organica de trigo sarraceno con pollo organico,10.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
255,pasta vermicelli con gambon y curry rojo picante,12.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
256,"pasta organica de trigo sarraceno con bogavante, leche de coco y aji picante",18.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
257,"pasta fresca integral (con huevo ecologico escalfado, setas y trufa)",10.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
258,arroz frito con confit de pato y salsa de frambuesas,11.9,plato,9,japones,monsieur sushita,40.4286177,-3.6836501
259,brownie my way,7.0,postre,8.9,internacional,gastromaquia,40.422009,-3.6989627
260,ny chesse cake,6.0,postre,8.9,internacional,gastromaquia,40.422009,-3.6989627
261,piña tropical,6.0,postre,8.9,internacional,gastromaquia,40.422009,-3.6989627
262,sorbete de mojito,5.0,postre,8.9,internacional,gastromaquia,40.422009,-3.6989627
266,salmon teriyaki con piñones,18.0,plato,8.7,japones,janatomo,40.4200447,-3.6989747
267,langostinos con salsa chilly picante y tomate,13.0,plato,8.7,japones,janatomo,40.4200447,-3.6989747
268,"langostinos,sepia y vieira salteados con esparragos o apio",16.0,plato,8.7,japones,janatomo,40.4200447,-3.6989747
269,ebi (langostino 5 piezas),19.5,plato,9.6,japones,miyama castellana,40.4357019,-3.6896704
270,verduras ( 8 piezas),11.5,plato,9.6,japones,miyama castellana,40.4357019,-3.6896704
271,"mixta (verduras, pescado blanco, langostino)",22.0,plato,9.6,japones,miyama castellana,40.4357019,-3.6896704
272,con setas chinas y bambu,6.0,plato,none,japones,jia wei,40.4136068,-3.698618
273,con salsa agridulce,5.7,plato,none,japones,jia wei,40.4136068,-3.698618
274,con salsa picante,5.7,plato,none,japones,jia wei,40.4136068,-3.698618
275,chop suey de pollo,5.7,plato,none,japones,jia wei,40.4136068,-3.698618
276,con salsa al limon,5.7,plato,none,japones,jia wei,40.4136068,-3.698618
277,con almendras,5.7,plato,none,japones,jia wei,40.4136068,-3.698618
278,fit fat cheese cake,3.0,postre,9.2,none,fit fat food,40.4256715,-3.7073748
279,la risis,3.0,postre,9.2,none,fit fat food,40.4256715,-3.7073748
280,costillar de tigreton,5.0,postre,9.2,none,fit fat food,40.4256715,-3.7073748
281,mousse de chocolate vegano,5.0,postre,9.2,none,fit fat food,40.4256715,-3.7073748
282,tarta de zanahoria,4.0,postre,9.2,none,fit fat food,40.4256715,-3.7073748
283,costillitas de cerdo a la barbacoa,7.95,plato,8.1,venezolano,chevere´s food snaks and ...,40.4194803,-3.6263654
284,pabellon criollo,7.95,plato,8.1,venezolano,chevere´s food snaks and ...,40.4194803,-3.6263654
285,"salmorejo, con jamon y huevo duro",7.8,entrante,8.6,internacional,wanda cafe optimista,40.438128,-3.689649
286,caldo casero,4.0,entrante,8.6,internacional,wanda cafe optimista,40.438128,-3.689649
287,"ensalada de sashimi, con salmon, atun, aguacate,mango, mezclum de lechugas, algas wakame, pepino y salsa wafu",14.9,entrante,8.6,internacional,wanda cafe optimista,40.438128,-3.689649
288,croquetas caseras de pollo o jamon (6 uds.),11.8,entrante,8.6,internacional,wanda cafe optimista,40.438128,-3.689649
289,"bao de pato, con confit de pato y salsa pekinesa (2 uds.)",12.4,entrante,8.6,internacional,wanda cafe optimista,40.438128,-3.689649
293,botella de agua,2.5,bebida,9,asiatico,soi noodle madrid,40.4458991,-3.695571
297,calamar de potera a la parrilla,19.8,plato,8.8,marisqueria,el gran barril,40.424741162189,-3.6731700897217
298,chipirones de costa a la parrilla con ajilimojili,19.8,plato,8.8,marisqueria,el gran barril,40.424741162189,-3.6731700897217
299,delicias de merluza de pincho a la romana con patata hilada,24.5,plato,8.8,marisqueria,el gran barril,40.424741162189,-3.6731700897217
300,merluza de pincho a la gallega con su ajada de pimenton de la vera o a la bilbaina,24.5,plato,8.8,marisqueria,el gran barril,40.424741162189,-3.6731700897217
301,"rape de tripa negra al ajo dorado, para uno y para dos. racion",24.5,plato,8.8,marisqueria,el gran barril,40.424741162189,-3.6731700897217
302,pescados a la sal. pida (minimo 2 personas- precio por persona),24.5,plato,8.8,marisqueria,el gran barril,40.424741162189,-3.6731700897217
303,lenguado salvaje a la parrilla con su piel (400 grs.),28.5,plato,8.8,marisqueria,el gran barril,40.424741162189,-3.6731700897217
304,sukiyaki,59.5,plato,9,japones,shinatora ya,40.4257681,-3.6866895
305,sukiyaki,125.5,plato,9,japones,shinatora ya,40.4257681,-3.6866895
306,shabu shabu,59.5,plato,9,japones,shinatora ya,40.4257681,-3.6866895
307,shabu shabu,125.5,plato,9,japones,shinatora ya,40.4257681,-3.6866895
308,yasai yaki,9.5,plato,9,japones,shinatora ya,40.4257681,-3.6866895
309,yakiniku bbq,46.5,plato,9,japones,shinatora ya,40.4257681,-3.6866895
310,yakiniku bbq,117.5,plato,9,japones,shinatora ya,40.4257681,-3.6866895
